symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2017-01-03 05:00:00+00:00,115.75,116.33,114.76,116.15,31713319.0,158508.0,115.645505
AAPL,2017-01-04 05:00:00+00:00,115.9,116.51,115.75,116.02,23234449.0,129948.0,116.122258
AAPL,2017-01-05 05:00:00+00:00,115.97,116.8642,115.81,116.61,23572537.0,136223.0,116.458208
AAPL,2017-01-06 05:00:00+00:00,116.75,118.16,116.47,117.91,33913959.0,177799.0,117.732691
AAPL,2017-01-09 05:00:00+00:00,118.0,119.43,117.94,118.99,36262611.0,184632.0,118.972293
AAPL,2017-01-10 05:00:00+00:00,118.77,119.38,118.3,119.11,26745348.0,146174.0,118.975039
AAPL,2017-01-11 05:00:00+00:00,118.74,119.93,118.6,119.75,29776164.0,153269.0,119.275269
AAPL,2017-01-12 05:00:00+00:00,118.81,119.3,118.21,119.25,29155667.0,165856.0,118.855089
AAPL,2017-01-13 05:00:00+00:00,119.105,119.62,118.81,119.04,28537278.0,132939.0,119.072742
AAPL,2017-01-17 05:00:00+00:00,118.27,120.24,118.22,120.0,36341827.0,189132.0,119.732846
AAPL,2017-01-18 05:00:00+00:00,120.06,120.5,119.71,119.99,26204776.0,126590.0,120.026198
AAPL,2017-01-19 05:00:00+00:00,119.39,120.09,119.37,119.77,27895649.0,130088.0,119.784517
AAPL,2017-01-20 05:00:00+00:00,120.31,120.45,119.7346,119.9992,34788040.0,148430.0,120.046708
AAPL,2017-01-23 05:00:00+00:00,119.97,120.81,119.77,120.08,23566062.0,128204.0,120.131978
AAPL,2017-01-24 05:00:00+00:00,119.55,120.1,119.5,119.97,24828799.0,134781.0,119.959421
AAPL,2017-01-25 05:00:00+00:00,120.42,122.1,120.28,121.88,34636456.0,198924.0,121.507677
AAPL,2017-01-26 05:00:00+00:00,121.73,122.44,121.6,121.94,29669464.0,126535.0,121.922017
AAPL,2017-01-27 05:00:00+00:00,122.07,122.35,121.6,121.95,22566569.0,110477.0,121.946225
AAPL,2017-01-30 05:00:00+00:00,120.98,121.63,120.66,121.57,32756099.0,164889.0,121.21632
AAPL,2017-01-31 05:00:00+00:00,121.08,121.39,120.62,121.35,51857764.0,246122.0,121.08829
AAPL,2017-02-01 05:00:00+00:00,127.09,130.49,127.01,128.75,117402547.0,537169.0,128.575087
AAPL,2017-02-02 05:00:00+00:00,128.0,129.39,127.78,128.53,35760610.0,190092.0,128.414465
AAPL,2017-02-03 05:00:00+00:00,128.31,129.19,128.16,129.08,26085571.0,135175.0,128.748506
AAPL,2017-02-06 05:00:00+00:00,128.99,130.5,128.9,130.29,28496119.0,150867.0,130.083579
AAPL,2017-02-07 05:00:00+00:00,130.52,132.09,130.45,131.51,39859297.0,190017.0,131.512571
AAPL,2017-02-08 05:00:00+00:00,131.37,132.22,131.22,132.04,24283359.0,124775.0,131.689798
AAPL,2017-02-09 05:00:00+00:00,131.65,132.445,131.12,132.42,29961216.0,132026.0,131.98131
AAPL,2017-02-10 05:00:00+00:00,132.44,132.94,132.05,132.12,22035212.0,109696.0,132.349488
AAPL,2017-02-13 05:00:00+00:00,133.0,133.82,132.75,133.29,25232871.0,131062.0,133.466273
AAPL,2017-02-14 05:00:00+00:00,133.46,135.09,133.25,135.02,35256334.0,170312.0,134.376866
AAPL,2017-02-15 05:00:00+00:00,135.54,136.27,134.62,135.51,37749068.0,187389.0,135.439451
AAPL,2017-02-16 05:00:00+00:00,135.68,135.9,134.8398,135.345,24245280.0,135496.0,135.282467
AAPL,2017-02-17 05:00:00+00:00,135.1,135.83,135.1,135.72,26725262.0,115264.0,135.453367
AAPL,2017-02-21 05:00:00+00:00,136.25,136.75,135.98,136.7,27524192.0,129419.0,136.450267
AAPL,2017-02-22 05:00:00+00:00,136.42,137.12,136.11,137.11,22798872.0,105696.0,136.72447
AAPL,2017-02-23 05:00:00+00:00,137.365,137.48,136.3,136.53,22412615.0,131712.0,136.707994
AAPL,2017-02-24 05:00:00+00:00,135.89,136.66,135.28,136.66,24323453.0,127193.0,136.053279
AAPL,2017-02-27 05:00:00+00:00,137.06,137.435,136.28,136.93,22471069.0,123047.0,136.984379
AAPL,2017-02-28 05:00:00+00:00,137.1,137.435,136.7,136.99,26905795.0,126841.0,137.05337
AAPL,2017-03-01 05:00:00+00:00,137.9,140.15,137.595,139.79,38558670.0,207459.0,139.372601
